Budgeterat antal 
Item Markup Group 
Kod för tillverkningsland/-region 
Do not Use latest sales price 
Har försäljningsprognos 
Dist.lager klasskod 
Ej lagerförd artikel 
Senaste direkt kostnad 
Kod för inköpsland/-region 
Uppsum. kap.omkostnad 
Tidsdiskret orderantal 
Eligable for Dealer Bonus 
Owners Goods Price Group 
Monteringsmetod 
Indirekt kostnad % 
Spärrad för inköp 
Global dimension 1 kod 
Ändrades senast (DatumTid) 
Senaste uppd. cyklisk inv.period 
Spärrad för försäljning 
GTIN 
Budgeterad vinst 
Item Category Hierarchy Id 
ID 
Base Colli 
Uppdateringstid 
Överflödesnivå 
Customer Warranty Period 
Picture Path 
Slutdatum för nästa inventering 
Vessel Department Code 
Dangerous Good 
Omkostnad 
ID för artikelkategori 
Max. avvikelsekvantitet 
Skapad från katalogartikel 
Varning negativt lagersaldo 
Max. utjämningsperiod 
Tullstatus 
Startdatum för nästa inventering 
ID för skattegrupp 
Typ 
Vinst % 
Förhindra negativt lagersaldo 
Måttenhet-ID 
Vendor Warranty Period 
Användar-ID för kopplingsformulär 
Kostnaden är justerad 
Omplaneringsperiod 
Item Category Hierarchy IdPath 
Orderspårningsprincip 
Pris/vinst-beräkning 
Tidsenhet 
Inventering cyklisk inv.period kod 
Tillåt onlinejustering 
Partiackumuleringsperiod 
Standardmall för periodisering 
Blockeringsorsak 
